family_id,target_type,pair_id,clause_id,status,unscorable_reason,n_variants_parsed,n_variants_total,parse_coverage
F_C1_C2_D1,pair,C1_C2,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C1_C3_D1,pair,C1_C3,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C1_C4_D1,pair,C1_C4,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C1_C7_D1,pair,C1_C7,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C1_C8_D1,pair,C1_C8,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C2_C3_D1,pair,C2_C3,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C2_C4_D1,pair,C2_C4,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C2_C5_D1,pair,C2_C5,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C2_C6_D1,pair,C2_C6,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C3_C4_D1,pair,C3_C4,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C3_C5_D1,pair,C3_C5,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C3_C6_D1,pair,C3_C6,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C3_C8_D1,pair,C3_C8,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C3_S1,control,,C3,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C4_C6_D1,pair,C4_C6,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C4_C7_D1,pair,C4_C7,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C4_C8_D1,pair,C4_C8,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C4_S1,control,,C4,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C5_C8_D1,pair,C5_C8,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
F_C6_C7_D1,pair,C6_C7,,unscorable_single_parsed,single_parsed_variant,1,5,0.2
F_C6_C8_D1,pair,C6_C8,,unscorable_no_parsed,no_parsed_variants,0,5,0.0
